epoch,English,Chinese,Multilingual
0.03,,,0.7049
0.04,,0.7761,
0.06,,,0.6973
0.08,,0.7089,
0.09,,,0.7
0.1,0.7059,,
0.11,,,0.6913
0.12,,0.6836,
0.14,,,0.6797
0.16,,0.679,
0.17,,,0.7117
0.2,0.7149,0.6617,0.6779
0.23,,,0.7203
0.24,,0.7478,
0.26,,,0.6767
0.28,,0.6919,0.687
0.3,0.6853,,
0.31,,,0.6899
0.32,,0.6564,
0.34,,,0.6957
0.36,,0.6402,
0.37,,,0.6976
0.4,0.6958,0.64,0.7056
0.43,,,0.6958
0.44,,0.533,
0.46,,,0.6814
0.48,,0.5762,0.6986
0.5,0.6904,,
0.51,,,0.6738
0.52,,0.5842,
0.54,,,0.682
0.56,,0.6229,
0.57,,,0.6906
0.59,0.6581,,
0.6,,0.5962,0.6908
0.63,,,0.6811
0.64,,0.5751,
0.66,,,0.6949
0.68,,0.522,0.6974
0.69,0.5635,,
0.71,,,0.6965
0.72,,0.6019,
0.74,,,0.6992
0.76,,0.589,
0.77,,,0.6956
0.79,0.6251,,
0.8,,0.5297,0.6884
0.83,,,0.6977
0.84,,0.4936,
0.85,,,0.6961
0.88,,0.5946,0.6904
0.89,0.5966,,
0.91,,,0.678
0.92,,0.4871,
0.94,,,0.6863
0.96,,0.4716,
0.97,,,0.6712
0.99,0.4817,,
1.0,,0.5894,0.7022
1.03,,,0.7412
1.04,,0.4155,
1.05,,,0.6949
1.08,,0.4333,0.7065
1.09,0.4649,,
1.11,,,0.6753
1.12,,0.3673,
1.14,,,0.7042
1.16,,0.4463,
1.17,,,0.6917
1.19,0.6203,,
1.2,,0.3663,0.685
1.23,,,0.6922
1.24,,0.3621,
1.25,,,0.6833
1.28,,0.396,0.6959
1.29,0.5442,,
1.31,,,0.6927
1.32,,0.3176,
1.34,,,0.6944
1.36,,0.5204,
1.37,,,0.6833
1.39,0.503,,
1.4,,0.3814,0.6991
1.42,,,0.6915
1.44,,0.3412,
1.45,,,0.6854
1.48,,0.3898,0.6872
1.49,0.519,,
1.51,,,0.6921
1.52,,0.3608,
1.54,,,0.6633
1.56,,0.379,
1.57,,,0.6853
1.58,0.6442,,
1.6,,0.3406,0.691
1.62,,,0.7127
1.64,,0.2982,
1.65,,,0.6866
1.68,0.5364,0.4159,0.6785
1.71,,,0.6864
1.72,,0.4537,
1.74,,,0.6932
1.76,,0.4132,
1.77,,,0.7
1.78,0.5563,,
1.79,,,0.6897
1.8,,0.4308,
1.82,,,0.6821
1.84,,0.4073,
1.85,,,0.6731
1.88,0.5813,0.3872,0.7046
1.91,,,0.6869
1.92,,0.4042,
1.94,,,0.6819
1.96,,0.4109,
1.97,,,0.6948
1.98,0.4032,,
1.99,,,0.6871
2.0,,0.3726,
2.02,,,0.6671
2.04,,0.273,
2.05,,,0.6732
2.08,0.4264,0.2263,0.6865
2.11,,,0.6809
2.12,,0.2244,
2.14,,,0.6751
2.16,,0.1888,
2.17,,,0.6735
2.18,0.3658,,
2.19,,,0.6887
2.2,,0.2292,
2.22,,,0.7133
2.24,,0.2582,
2.25,,,0.6798
2.28,0.3983,0.1764,0.6772
2.31,,,0.6944
2.32,,0.2484,
2.34,,,0.6973
2.36,,0.2624,0.6846
2.38,0.434,,
2.39,,,0.6875
2.4,,0.2827,
2.42,,,0.6923
2.44,,0.3614,
2.45,,,0.6739
2.48,0.3812,0.2097,0.6843
2.51,,,0.6658
2.52,,0.2416,
2.54,,,0.6834
2.56,,0.2103,0.6748
2.57,0.3713,,
2.59,,,0.6647
2.6,,0.2103,
